60	2.045	41063
60.15	2.058	41188
60.3	2.07	41313
60.45	2.083	41438
60.61	2.096	41562
60.76	2.109	41685
60.91	2.122	41808
61.06	2.135	41931
61.21	2.149	42054
61.36	2.162	42176
61.52	2.176	42297
61.67	2.19	42418
61.82	2.204	42539
61.97	2.218	42659
62.12	2.232	42779
62.27	2.246	42899
62.42	2.261	43018
62.58	2.275	43137
62.73	2.29	43255
62.88	2.305	43372
63.03	2.32	43490
63.18	2.335	43606
63.33	2.351	43723
63.48	2.366	43839
63.64	2.382	43954
63.79	2.398	44069
63.94	2.414	44184
64.09	2.43	44298
64.24	2.447	44411
64.39	2.463	44524
64.55	2.48	44637
64.7	2.497	44749
64.85	2.514	44861
65	2.532	44972
65.15	2.549	45083
65.3	2.567	45193
65.45	2.585	45302
65.61	2.603	45412
65.76	2.621	45520
65.91	2.64	45628
66.06	2.659	45736
66.21	2.678	45843
66.36	2.697	45950
66.52	2.717	46056
66.67	2.736	46162
66.82	2.756	46267
66.97	2.777	46371
67.12	2.797	46475
67.27	2.818	46579
67.42	2.839	46681
67.58	2.86	46784
67.73	2.882	46886
67.88	2.903	46987
68.03	2.926	47088
68.18	2.948	47188
68.33	2.971	47288
68.48	2.994	47387
68.64	3.017	47485
68.79	3.041	47583
68.94	3.065	47680
69.09	3.089	47777
69.24	3.114	47874
69.39	3.138	47969
69.55	3.164	48064
69.7	3.189	48159
69.85	3.216	48253
70	3.242	48346
70.15	3.269	48439
70.3	3.296	48531
70.45	3.324	48623
70.61	3.352	48714
70.76	3.38	48804
70.91	3.409	48894
71.06	3.438	48983
71.21	3.468	49072
71.36	3.498	49160
71.52	3.529	49247
71.67	3.56	49334
71.82	3.592	49420
71.97	3.624	49506
72.12	3.657	49590
72.27	3.69	49675
72.42	3.724	49758
72.58	3.758	49841
72.73	3.793	49924
72.88	3.829	50006
73.03	3.865	50087
73.18	3.902	50167
73.33	3.939	50247
73.48	3.978	50326
73.64	4.016	50405
73.79	4.056	50483
73.94	4.096	50560
74.09	4.137	50637
74.24	4.179	50713
74.39	4.221	50788
74.55	4.265	50863
74.7	4.309	50937
74.85	4.354	51010
75	4.4	51083
