2.218	20
2.185	20.3
2.153	20.61
2.122	20.91
2.091	21.21
2.062	21.52
2.033	21.82
2.006	22.12
1.978	22.42
1.952	22.73
1.926	23.03
1.901	23.33
1.877	23.64
1.853	23.94
1.83	24.24
1.807	24.55
1.785	24.85
1.764	25.15
1.743	25.45
1.722	25.76
1.702	26.06
1.683	26.36
1.664	26.67
1.645	26.97
1.627	27.27
1.609	27.58
1.591	27.88
1.574	28.18
1.557	28.48
1.541	28.79
1.525	29.09
1.509	29.39
1.494	29.7
1.479	30
1.464	30.3
1.45	30.61
1.435	30.91
1.421	31.21
1.408	31.52
1.394	31.82
1.381	32.12
1.368	32.42
1.356	32.73
1.343	33.03
1.331	33.33
1.319	33.64
1.307	33.94
1.296	34.24
1.284	34.55
1.273	34.85
1.262	35.15
1.251	35.45
1.241	35.76
1.23	36.06
1.22	36.36
1.21	36.67
1.2	36.97
1.19	37.27
1.181	37.58
1.171	37.88
1.162	38.18
1.153	38.48
1.144	38.79
1.135	39.09
1.126	39.39
1.118	39.7
1.109	40
1.101	40.3
1.093	40.61
1.084	40.91
1.076	41.21
1.069	41.52
1.061	41.82
1.053	42.12
1.046	42.42
1.038	42.73
1.031	43.03
1.024	43.33
1.017	43.64
1.01	43.94
1.003	44.24
0.9959	44.55
0.9892	44.85
0.9826	45.15
0.976	45.45
0.9695	45.76
0.9632	46.06
0.9569	46.36
0.9507	46.67
0.9445	46.97
0.9385	47.27
0.9325	47.58
0.9266	47.88
0.9208	48.18
0.915	48.48
0.9093	48.79
0.9037	49.09
0.8982	49.39
0.8927	49.7
0.8873	50
